Idiom,Part_of_Speech,Meaning,Example
stretch,n.,"nickname for a  tall, lanky, gangly person (usually capitalized)", 
stretch,n.,time period, 
stroke,v.,flatter or  comfort somebody.,"Just go stroke his ego, then you'll get a raise."
stubby,n.,small can of  beer, 
stud,n.,male seen as  successful with or appealing to women, 
studhammer,n.,male who is  sexually successful with women, 
stud-muffin,n.,"very handsome,  sexy male", 
stuff a sock in it,exclam.,be quiet;  shut up; stop stalking, 
stupid-ass,adj.,dumb; stupid;  idiotic, 
stupid-ass,n.,"dumb, idiotic  person", 
sub,n.,"sandwich made  with Italian bread sliced lengthwise, filled with cold cuts, cheese, and  vegetables", 
submarine sandwich,n.,"sandwich made  with Italian bread sliced lengthwise, filled with cold cuts, cheese, and  vegetables", 
suck,v.,be unappealing  or undesirable, 
suck face,v.,kiss, 
suck suds,v.,drink beer, 
suck up,v.,tolerate;  endure; accept something.,"I know your job is tough, but you just have to  suck it up."
sucker,n.,person who is  easily fooled or deceived, 
sucker,n.,thing; object;  device, 
sucker,v.,trick; con;  swindle; deceive, 
sucky,adj.,undesirable;  unappealing; low-quality, 
suds,n.,beer, 
sue me,idiom.,retort said to reject or dismiss somebody's  statement.,You say you don't like it? So sue me.
ugar,exclam.,drat; darn  (used in place of shit to express anger or frustration), 
sugar daddy,n.,"older man who  financially takes care of a younger person, often in a sexual relationship", 
suit,n.,businessman or  businesswoman; a person in authority, 
Sunday best,n.,"fancy, elegant  clothing", 
Sunday driver,n.,automobile  driver who goes slowly and carefully.,I hate being stuck behind Sunday  drivers.
superfly,adj.,good; nice;  excellent, 
superjock,n.,great athelete  or sports competitor, 
supratentorial,adj.,in the brain  or head; used to say a condition is psychiatric instead of neurological.,This patient's problem is supratentorial. We can't do anything for him here in  the ER.
surf n' turf,n.,common way of  referring to a platter with meat and seafood, 
suss,v.,figure out;  realize; understand clearly.,I've got you sussed now.
Suzy Homemaker,n.,stereotype of  the American housewife, 
swap spits,v.,kiss, 
sweat,n.,problem;  trouble.,"No sweat, I'll get it done."
sweat,v.,anxiously await  results, 
sweat blood,v.,feel very tense  or anxious, 
sweat bullets,v.,feel very tense  or anxious, 
sweep under the rug,idiom.,hide; conceal; remove evidence.,Just sweep that  problem under the rug. We'll worry about it if we have to.
swift,adj.,clever;  intelligent; smart.,"You're not too swift, are you?"
swing,v.,be current;  modern; with it, 
swing,v.,"be  entertaining, exciting, or enjoyable", 
swing,v.,"participate in  group sex, exchanges of sex partners, or other fashionable activities", 
swipe,n.,blow or strike  by somebody or something, 
swipe,v.,steal something  (usually small), 
swipe,v.,take something, 
T&A,abbr.,tits and ass  (in reference to women), 
T.G.I.F.,abbr.,Thank God  it's Friday, 
T.S.,abbr.,tough shit  (i.e.: too bad; tough luck; rotten luck), 
TAFN,abbr.,that's all  for now, 
tag,n.,license plate  or identification/registration stickers on a vehicle, 
TAH,abbr.,take a hint, 
tailer trash,n.,poor people who  live in trailer parks, 
take a dump,v.,defacate; move  one's bowls, 
take a dump,v.,move one's  bowels; defacate, 
take a hike,v.,leave; depart;  get out, 
take a piss,v.,urinate; pee, 
take a shit,v.,defacate; move  one's bowls.,"God, do I have to take a shit? Where's the can?"
take a shit,v.,move one's  bowels; defacate, 
take a walk,v.,leave; depart;  get out, 
take five,v.,take a break  for five minutes, 
take names,v.,create a list  of people who have behaved badly or illegally, 
take out,v.,destroy or  obliterate somebody or something, 
take out,v.,go out with  somebody; go on a date with somebody, 
taken,adj.,deceived;  cheated; swindled, 
talking head,n.,announcer or  anchor on television (so called because often only the face and neck are  visible), 
tall in the saddle,adj.,proud;  pleased; self-satisfied, 
tank,v.,drink  excessively, 
tank,v.,fail; perform  poorly, 
tank up,v.,drink  excessively, 
tanked,adj.,drunk;  intoxicated, 
tanked up,adj.,drunk;  intoxicated, 
tap out,v.,lose all one's  money (often through gambling), 
tapped,adj.,broke; having  no money, 
tapped,adj.,tired;  fatigued; exhausted, 
tapped out,adj.,broke; having  no money, 
tapped out,adj.,tired;  fatigued; exhausted, 
tater,n.,potato, 
tawny,adj.,good; nice;  excellent, 
tchotchke,n.,small item;  trinket, 
tee off,v.,upset or angery  somebody, 
TEETH,abbr.,"tried  everything else, try homeopathy", 
telly,n.,television; T, 
tenderfoot,n.,person lacking  experience or know-how (old expression no longer used much), 
terp,n.,interpreter for  American forces in Iraq; interpreter in the military, 
thing,n.,activity;  undertaking (used after a noun to emphasize the particular nature of the noun  or create a general idea about that noun).,It's a girl thing; you wouldn't  understand.
third base,n.,"act of oral sex  or finger sex (used as a way to mark ""progress"" in sex, especially  among youth)", 
third wheel,n.,additional or  extra person who is not wanted, 
thou,n.,one-thousand, 
thou,n.,"thousand (n.b.:  the ""th"" is pronounced hard, as in ""threw"")", 
threads,n.,clothes;  clothing.,Nice threads! Going on a date?
throw one's cookies,v.,throw up; vomit, 
thunder-thighs,n.,fat or large  thighs (usually on a woman), 
TIA,abbr.,thanks in  advance, 
tick,n.,minute; second, 
ticked,adj.,upset; angry, 
ticked off,adj.,upset; angry, 
ticker,n.,heart, 
ticker,n.,watch; time  piece, 
ticket,n.,license;  driver's license.,"""Ticket to Ride"" (song title)."
ticket,n.,something  needed for a particular purpose, 
tickle the ivories,v.,play the piano, 
tiddly,adj.,tipsy;  slightly drunk, 
tight,adj.,close; very  friendly; on good terms.,Those two are very tight.
TIIC,abbr.,the idiots  in charge, 
time,exclam.,stop; stop  talking; cease, 
time out,exclam.,stop; stop  talking; cease, 
tinnie,n.,can of beer, 
tipple,n.,"alcoholic drink  such as beer, wine, or liquor.",My favorite tipple? A bit of cognac.
tipple,v.,drink alcohol  regularly, 
tits,n.,breasts  (usually said of women), 
TLA,abbr.,three-letter  acronym, 
to die for,adj.,excellent;  outstanding.,This cake is to die for.
toast,adj.,in trouble;  at risk of punishment, 
todger,n.,penis; dick, 
toe jam,n.,smelly gunk  between toes on unwashed feet, 
tokus,n.,buttocks;  posterior, 
too … by half,adj.,too much;  excessively; extremely.,You are too crazy by half.
took,adj.,deceived;  cheated; swindled, 
tool,n.,person who is  easily exploited, 
tool,n.,"serious,  dedicated student", 
tool,v.,drive at high  speed in a car, 
tool around,v.,cruise or drive  around in a car, 
tooth-to-tattoo ratio,n.,visual  inspection to determine mental status; a higher ratio (more teeth than tattoos)  is better, 
top dog,n.,leader; head of  a group; powerful person in an organization, 
torpedo,n.,"sandwich made  with Italian bread sliced lengthwise, filled with cold cuts, cheese, and  vegetables", 
toss off,v.,do something  rapidly and with little attention to detail, 
toss one's cookies,v.,throw up; vomit, 
toss one's lunch,v.,throw up; vomit, 
toss one's tacos,v.,throw up; vomit, 
totalled,adj.,wrecked;  demolished; destroyed, 
totally,adv.,absolutely;  completely; entirely, 
totally spent,adj.,feeling  adverse effects of methylenedioxymethamphetamine (MDMA), 
tough out,v.,endure;  persist; persevere.,"I know it's hard, but you've got to tough it out."
tough stick,n.,patient whose  veins make a blood draw difficult.,Druggies always make for tough sticks  because their veins are shot.
train wreck,n.,patient with  multiple medical problems, 
trammeled,adj.,drunk;  intoxicated, 
tranny,n.,transmission in  a car, 
trash,n.,person of  little value, 
trash,v.,damage;  vandalize, 
trash,v.,discard; throw  away; get rid of, 
trashed,adj.,drunk;  intoxicated.,He was totally trashed after only four beers.
treadhead,n.,tank driver or  crewman; soldier whose specialty is armor, 
tree-hugging,v.,pretentiously clean / pure, 
tribe,n.,friends;  relatives; family, 
trike,n.,motorcyle with  three wheels.,Nice trike. How fast does it go?
trip,n.,"weird, annoying  person or experience", 
trippin',adj.,high on drugs, 
tri's,n.,triceps  (muscles on the back of the arm), 
troll,n.,"ugly man or  woman, often with a mean disposition", 
trounce,v.,defeat somebody  (often in a game or other contest), 
trust me,exclam.,believe  me; really; honestly; for real, 
TTFN,abbr.,ta-ta for  now, 
TTYL,abbr.,talk to you  later, 
tub of lard,n.,"fat person,  typically very fat", 
tube,n.,ocean wave when  breaking, 
tube,n.,television set  (not a flat panel screen though), 
tube steak,n.,hotdog, 
tubular,adj.,good; nice;  excellent, 
tuchus,n.,buttocks;  posterior, 
tude,n.,poor attitude;  troublesome disposition, 
tukkis,n.,buttocks;  posterior, 
tunes,n.,music; records;  CDs, 
turd,n.,poop; feces, 
turd,n.,horrible person, 
turf,v.,transfer a  patient to another service (usually to get the patient out of your service).,"She got turfed up here from the ER, and now we're stuck with her."
turkey,n.,failure; loss, 
turkey,n.,dumb person, 
turn belly-up,v.,die, 
turn belly-up,v.,fail; perform  poorly, 
turn turtle,v.,turn over; flip  over; capsize, 
turned on,adj.,sexually  excited or aroused, 
turnoff,n.,"something  unappealing, unenjoyable, or disgusting", 
turps,n.,turpentine, 
turtle,n.,Kevlar helmet, 
tweak,v.,make small  adjustments, 
tweaking,n.,drug-induced  paranoia, 
tweeked,adj.,drunk;  intoxicated, 
"twenty-four, seven",adj.,"all the time;  24 hours a day, 7 days a week", 
twenty-four/seven  (24/7),adj.,"all the time;  24 hours a day, 7 days a week", 
twerp,n.,"small, annoying  person", 
Twinkie,n.,"Asian person  who adopts the lifestyle, attitudes, and such of White people", 
twirp,n.,"small, annoying  person", 
twit,n.,"dumb, annoying  person", 
twofer,n.,two items for  the price of one, 
two-time,v.,cheat on a  spouse or lover, 
two-time loser,n.,confirmed  failure, 
two-timer,n.,somebody who  cheats on a spouse or lover, 
U.V.s,v.,s, 
UBI,abbr.,unexplained  beer injury, 
umpteen,n.,large quantity;  many, 
umpteenth,adj.,millions;  billions; an uncountably large number, 
un-ass,v.,get out of a  sitting position; get off (a vehicle), 
uncut,adj.,not  circumcised, 
uncut,adj.,unmodified;  unedited, 
under one's thumb,adj.,under the  control of; manipulated by.,"""Under My Thumb"" (song title)."
undies,n.,underwear, 
unit,n.,gadget; device;  mechanism, 
unit,n.,penis, 
up,adj.,pleased;  happy; excited, 
up,v.,increase;  augment; raise, 
up for grabs,adj.,in the mood  for; willing to, 
up for grabs,adj.,unclaimed;  available, 
up for grabs,adj.,unknown (in  terms of outcome or results); chaotic; disorganized, 
up front,adj.,honest;  truthful; forthright, 
up front,adj.,in advance;  at the start; at the outset, 
up shit's creek,v.,"be in a  desperate, no-win situation", 
up shit's creek  without a paddle,v.,"be in a  desperate, no-win situation", 
up yours,exclam.,go away;  drop dead (used to reject something or as a retort), 
upchuck,n.,vomit; vomitus, 
upchuck,v.,throw up; vomit, 
uptight,adj.,nervous;  anxious; edgy, 
V.S.A.,v.,S.A., 
vanilla,adj.,ordinary;  dull; plain, 
VB,n.,Victorian  Bitter (brand of beer in Australia), 
V-ball,n.,volleyball, 
veg,v.,relax; take it  easy; do very little, 
veg out,v.,relax; take it  easy; do very little, 
veggies,n.,vegetables.,Some veggies with your steak?
vest,n.,bulletproof  vest; Kevlar vest.,"He was wearing a vest, so he survived the gunshot."
vette,n.,Corvette car, 
vibes,n.,"atmosphere;  feelings; sense of what's what (short for ""vibrations"")", 
vic,n.,convict, 
vic,n.,victim, 
vid,n.,video tape, 
vinyl,n.,phonograph  record(s) (so called because they are made from vinyl), 
vivor,n.,survivor, 
VPL,abbr.,visible  panty lines.,"Hey girfriend, VPL."
wack,v.,kill; murder, 
wack,adj.,stupid;  embarrassing.,That's just wack. No way it's real.
wack off,v.,waste time or  energy; do little or nothing, 
wack off,v.,masturbate (men  only), 
wack off,v.,masturbate  (said of men), 
wacked,adj.,drunk; intoxicated, 
wacked out,adj.,drunk;  intoxicated, 
wad,n.,bankroll;  handful of money, 
WAG,abbr.,wild-ass  guess, 
wagon,n.,station wagon, 
wail on,v.,beat; hit;  strike (somebody), 
walk,n.,something easy  to accomplish or do, 
walk,v.,walk out;  abandon; reject, 
walking wounded,n.,injured  soldiers or victims still able to walk on their own, 
walking wounded,n.,dumb people, 
wanabe,n.,somebody who  aspires to greatness or to a particular position or achievement, 
wannabe,n.,somebody who  aspires to greatness or to a particular position or achievement, 
wap,n.,Italian;  Italian person, 
Warthog,n.,nickname for  the A-10 Thunderbolt aircraft.,We've got two Warhogs in this hanger.
washboard abs,n.,well defined  stomach muscles, 
waste,v.,kill; murder, 
wasted,adj.,drunk;  intoxicated, 
wasted,adj.,under the  influence of drugs, 
way,adj.,very;  extremely; completely, 
way,exclam.,yes; there  is; there is too, 
WB,abbr.,welcome back, 
wedge,n.,"sandwich made  with Italian bread sliced lengthwise, filled with cold cuts, cheese, and  vegetables", 
wedgie,n.,pulling the  underwear up tightly from behind, 
wedgie,n.,the act of  pulling the underwear of a boy up from behind so that it creates discomfort  around the genitals, 
wedgy,n.,pulling the  underwear up tightly from behind, 
weekend warrior,n.,Army Reserve or  National Guard members, 
weenie,n.,"dumb,  incompetent man", 
well hung,adj.,having large  testicles and penis, 
wetback,n.,Hispanic  illegal immigrant, 
whack,v.,kill; murder, 
whack,adj.,stupid;  embarrassing, 
whack off,v.,waste time or  energy; do little or nothing, 
whack off,v.,masturbate (men  only), 
whack off,v.,masturbate  (said of men), 
whacked,adj.,drunk;  intoxicated, 
whacked out,adj.,drunk;  intoxicated, 
what in the fucking  hell,exclam.,what?  (used to indicate anger or surprise), 
what the fucking hell,exclam.,what?  (used to indicate anger or surprise), 
whatever,adj.,"it's trivial,  unimportant, irrelevant.","Like, whatever! It's not important, you know."
wheels,n.,transportation  in a car; a car, 
whipped,adj.,tired;  exhausted, 
whitebread,adj.,ordinary;  dull; plain, 
white-knuckle,adj.,"very tense,  anxious, or stressed", 
whiz,v.,urinate, 
whiz,n.,capable person;  talented person, 
whore,n.,"a female  prostitute; a contemptible, disreputable woman", 
WIA,abbr.,wounded in  action, 
wicked,adj.,impressive;  good; excellent, 
wienie,n.,"dumb,  incompetent man", 
wigger,n.,white person  who adopts black styles, 
willie pete,n.,white  phosphorus, 
wimp out,v.,avoid a task, 
wimp out,v.,cease or stop  due to fear or anxiety, 
wimpy,adj.,incompetent;  weak, 
Windy City,n.,Chicago, 
wing,v.,travel by  airplane, 
wing it,v.,do something  without preparation; improvise, 
winks,n.,sleep, 
wipped,adj.,"under the  control of a woman; manipulated by a woman (said of men; from  ""pussy-wipped"")", 
wired,adj.,anxious;  nervous; very alert, 
wired,adj.,connected  electronically using cable(s) or radio connections, 
wired into,adj.,"concerned,  worried, or attentive to somebody or something", 
wired up,adj.,drunk;  intoxicated, 
within spitting  distance,adj.,very close, 
wizard,adj.,cool; neat;  excellent (no longer used).,That's so wizard. It's amazing.
wolf down,v.,eat rapidly.,Don't wolf down your food. It's bad for your digestion.
wombat,n.,eccentric  person, 
wonk,n.,"serious,  dedicated student", 
wonky,adj.,studious;  diligent, 
woody,n.,erection of the  penis, 
word,exclam.,right;  true; right on, 
word up,exclam.,right;  true; right on, 
work one's ass off,v.,work very  diligently, 
work one's butt off,v.,work very  diligently.,I worked my butt off on that paper and all I got was a C+.
worship the porcelain  god,v.,throw up;  vomit.,"After last night's frat party, I spent the morning worshipping the  porcelain god."
wow,v.,impress.,You  wowed them with that presentation.
wrack one's brains,v.,think very hard  or very deeply.,I'm wracking my brains but just can't remember her name.
wrecker,n.,tow truck.,Where's the wrecker? I've got to get my car to the shop.
wrong-foot,v.,trip up; cause  somebody difficulty; make somebody make a mistake, 
WTG,abbr.,way to go, 
wuss,n.,"weak, fearful  perso", 
wussy,n.,"weak, fearful  person", 
WWW,abbr.,we want  women, 
XTC,n.,methylenedioxymethamphetamine  (MDMA), 
Yank,n.,U.S. soldier;  Yankee; American, 
yank,v.,irritate;  harass; annoy, 
yank around,v.,annoy; harass;  irritate, 
yank one's strap,v.,masturbate  (said of men), 
yank somebody's chain,v.,annoy; harass;  irritate, 
yid,n.,Jew; Jewish  perso, 
york,v.,throw up; vomit, 
yuck,exclam.,horrible;  terrible; disgusting, 
yuck,n.,disgusting  person or thing, 
yucky,adj.,disgusting;  repulsive; vulgar, 
yuk,n.,disgusting  person or thing, 
yukky,adj.,disgusting;  repulsive; vulgar, 
yuky,adj.,disgusting;  repulsive; vulgar, 
zap,v.,impress  somebody, 
zap,v.,shock somebody, 
zapped,adj.,fatigued;  tired; exhausted, 
zapper,n.,microwave ove, 
zapper,n.,remote control;  TV remote, 
zebra,n.,improbable or  ridiculous diagnosis, 
zero,n.,person of no  value, 
zip,n.,nothing;  nothing at all, 
zip,n.,score of zero, 
zip,n.,spirit; vigor;  energy, 
zit,n.,pimple.,"Damn, another zit. Where's my medicine?"
zonk,v.,fatigue or tire  somebody, 
zonk out,v.,collapse from  fatigue, 
zonked,adj.,drunk;  intoxicated, 
zonked,adj.,fatigued;  tired; exhausted.,I'm totally zonked from studying.
zonked out,adj.,drunk;  intoxicated, 
zonked out,adj.,fatigued; tired; exhausted.,He's really zonked out from studying so  much.
buck,v.,go against;  resist; make a difference choice.,"Don't buck the trend, you'll look silly."
